 ,"ABEJO, VANGIE (IND)","AFUANG, ABNER (WPP)","AGUILAR, FREDDIE (IND)","ALBANI, SHARIFF (WPP)","ALEJANO, GARY (LP)","ALFAJORA, RICHARD (IND)","ALUNAN, RAFFY (BGMBYN)","ANGARA, EDGARDO SONNY (LDP)","AQUINO, BENIGNO BAM  (LP)","ARCEGA, GERALD (WPP)","ARELLANO, ERNESTO (IND)","ARIAS, MARCELINO (WPP)","AUSTRIA, BERNARD (PDSP)","BALDEVARONA, BALDE (FFP)","BINAY, NANCY (UNA)","BONG REVILLA, RAMON JR (LAKAS)","CACERES, JESUS (IND)","CASI�O, TOTI (KDP)","CAYETANO, PIA (NP)","CHAVEZ, MELCHOR (WPP)","CHONG, GLENN (KDP)","COLMENARES, NERI (MKBYN)","DE GUZMAN, KA LEODY (PLM)","DELA ROSA, BATO (PDPLBN)","DIOKNO, CHEL (LP)","EJERCITO, ESTRADA JV (NPC)","ENRILE, JUAN PONCE (PMP)","ESCUDERO, AGNES (IND)","ESTRADA, JINGGOY (PMP)","FRANCISCO, ELMER (PFP)","GADDI, CHARLIE (IND)","GADON, LARRY (KBL)","GENEROSO,GEN PEDERALISMO (IND)","GO, BONG GO (PDPLBN)","GUIGAYUMA, JUNBERT (WPP)","GUTOC, SAMIRA (LP)","HILBAY, PILO (AKSYON)","JANGAO, BFG ABRAHAM (IND)","JAVELLANA, RJ (KDP)","LAPID, LITO (NPC)","MACALINTAL, MACAROMY (IND)","MALLILLIN, EMILY (IND)","MANGONDATO, FAISAL (IND)","MANGUDADATU, DONG (PDPLBN)","MANICAD, JIGGY (IND)","MARCOS, IMEE (NP)","MATULA, JOSE SONNY (WPP)","MENIANO, LUTHER (WPP)","MONTA�O, ALLAN (IND)","NALLIW, JOAN SHEELAH (IND)","ONG, DOC WILLIE (LAKAS)","OSME�A, SERGE (IND)","PADILLA, DADO (PFP)","PIMENTEL, KOKO (PDPLBN)","POE, GRACE (IND)","ROLEDA, DAN KAIBIGAN (UNA)","ROXAS, MAR (LP)","SAHIDULLA, LADY ANN (KDP)","TA�ADA,LORENZO ERIN TAPAT (LP)","TOLENTINO, FRANCIS (PDPLBN)","VALDES, BUTCH (KDP)","VILLAR, CYNTHIA (NP)",Total
CEBU,44143,25565,164301,25295,174039,30846,118366,994484,662682,22830,63843,25377,20445,17236,638638,628500,25185,29566,1205605,46306,178514,183366,37599,1164111,278939,588290,291914,83512,443949,27197,18155,175847,34522,1287449,16064,143852,98456,25580,15168,761980,116882,18715,122038,513392,264096,717139,23260,11022,59461,13044,336078,868381,47139,935399,1002736,22834,507983,16393,141569,890843,19095,1328500,18793715
NEGROS ORIENTAL,17464,10203,35891,9368,64518,8244,21234,193221,181416,7085,15313,8578,6101,6184,147128,146116,9551,9971,217968,12535,23516,35273,9189,221570,66609,121916,51230,15360,102253,5720,4229,24217,8789,271675,4712,37251,26059,7685,4485,183693,31599,4917,25872,80167,40981,114401,5960,2768,18728,4232,41470,126760,15674,158643,236537,6468,160199,4307,37057,159073,6934,278546,3914813
SIQUIJOR,951,650,3011,592,5446,514,1400,18061,20256,445,1055,389,426,330,17320,13478,433,503,20163,865,1901,2968,565,20108,8043,12148,7034,1328,9979,520,373,2297,743,24993,323,4238,2891,406,283,15219,3536,378,2166,7969,3018,10588,431,198,1314,292,4002,13435,1662,17212,21488,374,13585,315,4806,16120,306,28016,373859
ZAMBOANGA DEL NORTE,7546,4716,28768,7827,32314,4668,10570,136075,106282,3777,8080,3805,4171,2953,112123,161277,4281,4652,149102,6807,15020,15368,4982,209176,32164,102401,38304,9711,110334,3862,2900,13198,4755,232092,2577,20910,10205,4218,2409,129121,25951,2859,20120,115647,39077,103716,3140,1698,10965,1961,21527,66374,11791,162823,152862,3989,74875,4224,16664,161572,2684,225937,2993957
ZAMBOANGA DEL SUR,9433,6696,49140,21241,31718,6306,24828,234590,142712,5840,11185,6564,5084,4993,192065,228615,6581,8063,283429,13209,25102,26979,10015,340690,43166,212088,74492,19358,173213,7411,4750,30694,7540,355382,4661,27433,13429,9540,3757,220917,21264,4376,35940,175684,58005,195410,4882,2454,14011,3471,51741,143961,20652,283324,251998,8384,88501,20229,22179,280171,5000,347767,4942313
ZAMBOANGA SIBUGAY,4413,3264,23587,6373,12531,2746,5960,84559,52323,2640,5605,2622,2191,2249,68165,113386,2727,3563,108850,4363,8365,8844,3570,127554,14262,74586,23829,6467,79580,2827,1641,8071,2889,142144,1699,10708,4966,3142,2145,99168,8047,1661,16986,62982,13754,63286,1789,1164,6928,1129,15781,34089,9403,89447,99251,2321,37145,5565,7040,95667,1819,142080,1855908
EASTERN SAMAR,4533,3060,14996,3067,28860,2744,5928,73256,76569,2573,6442,4189,2280,2263,65023,75146,1901,2822,83666,5736,12807,19272,4576,67659,31742,68187,21148,8880,60100,2545,2026,10850,2390,74228,1494,21398,17032,2673,1574,78346,21125,1848,9113,26638,38565,56757,2449,1220,5465,1273,25157,36303,5935,61050,116031,7543,53700,1729,18651,58570,1908,120676,1645687
LEYTE,14264,10481,45741,7965,45215,7863,30501,305909,197035,7189,14874,7967,6931,6492,260374,254018,6543,9512,311995,13003,91273,42746,11849,373782,70499,234906,92580,20455,198084,7489,4727,46823,6970,430533,4064,32752,22304,10588,4224,270347,33693,4660,42345,166506,138631,400252,5698,3429,13534,2887,106601,124624,16511,301237,350582,12774,86254,4080,37363,299443,5293,480239,6177503
NORTHERN SAMAR,5811,4592,14399,3537,32034,3613,6969,80598,115311,3046,5960,3010,2420,2607,82324,116795,2720,3728,89255,4923,8930,28040,4090,83379,33080,79174,27853,7959,72036,2928,2100,12684,2778,100320,1835,22768,14574,3390,1766,114800,21524,2139,10328,34118,28395,73432,3209,1346,5844,1363,46023,44028,7174,63845,124899,11975,86612,2068,18460,56379,1976,143981,1997254
SAMAR (WESTERN SAMAR),7206,3524,17914,3121,64322,3481,7165,137068,128880,2966,7419,3376,3013,2268,86591,125065,3733,4696,140804,5503,16618,36476,4845,166068,62628,126470,59791,8683,78531,3088,3383,15558,3296,198249,1887,43584,30021,3987,2073,145654,33543,2494,10351,40630,49201,127562,2806,1622,6919,1490,41324,41630,7189,116998,160715,53267,96429,2285,41701,140804,2701,224889,2975555
SOUTHERN LEYTE,3057,2133,11198,2093,11729,1902,6744,87085,44509,1723,3937,2038,1716,1327,45880,67287,1418,2115,99992,2850,12814,9264,2253,111984,15604,66314,15119,4501,52623,1759,1121,10480,1724,116759,1023,8754,5929,1535,969,58777,8458,1107,13094,62356,25658,67902,1801,753,3752,751,23136,33486,3630,84733,73296,1875,29798,982,8432,89288,1454,122652,1558433
